country,CustomerID,customers_purchase
Australia,12415,124914.53
Australia,12431,5514.67
Australia,12388,2780.66
Austria,12360,2662.06
Austria,12865,1568.23
Austria,12818,1542.08
Bahrain,12355,459.4
Bahrain,12353,89
Belgium,12362,5226.23
Belgium,12449,4067.29
Belgium,12417,3212.8
Brazil,12769,1143.6
Canada,17444,2940.04
Canada,17443,534.24
Canada,15388,140.54
Channel Islands,14936,8137.02
Channel Islands,14930,2372.86
Channel Islands,14934,1890.94
Cyprus,12359,6372.58
Cyprus,12370,3268.49
Cyprus,12455,1698.9
Czech Republic,12781,826.74
Denmark,12435,7829.89
Denmark,12406,3415.3
Denmark,12429,3312.42
EIRE,14911,143825.06
EIRE,14156,117379.63
EIRE,14016,4341.21
European Community,15108,1300.25
Finland,12428,7956.46
Finland,12664,4881.88
Finland,12704,2340.84
France,12731,18895.91
France,12678,17628.46
France,12681,13787.54
Germany,12471,19824.05
Germany,12621,13689.67
Germany,12477,13219.74
Greece,14439,2661.24
Greece,12717,1030.98
Greece,12478,680.99
Iceland,12347,4310
Israel,12688,4873.81
Israel,12653,2209.85
Israel,12512,138.03
Italy,12594,3338.22
Italy,12578,2794.51
Italy,12584,2338.15
Japan,12753,21429.39
Japan,12798,6977.04
Japan,12755,3811.95
Lebanon,12764,1693.88
Lithuania,15332,1661.06
Malta,17828,1820.09
Malta,15480,905.5
Netherlands,14646,280206.02
Netherlands,12759,1531.44
Netherlands,12775,1386.04
Norway,12433,13375.87
Norway,12432,5059.32
Norway,12444,5005.46
Poland,12779,3981.36
Poland,12576,1315.83
Poland,12815,1063.46
Portugal,12757,7857.1
Portugal,12766,6989.63
Portugal,12356,2811.43
RSA,12446,1002.31
Saudi Arabia,12565,145.92
Singapore,12744,21279.29
Spain,12540,13400.24
Spain,12557,11990.96
Spain,12539,5568.35
Sweden,17404,31906.82
Sweden,12483,2484.98
Sweden,12676,1331.39
Switzerland,12409,11072.67
Switzerland,12451,9035.52
Switzerland,12357,6207.67
United Arab Emirates,12739,1013.04
United Arab Emirates,17829,889.24
United Kingdom,18102,259657.3
United Kingdom,17450,194550.79
United Kingdom,16446,168472.49
USA,12607,1579.51
USA,12646,1346.97
USA,12733,383.95
